YEAR,MONTH,DEST,ARR_DELAY_NEW
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
2025,4,STL,0.0
